Algorithm,DataType,ArraySize,AverageTimeNs,AverageTimeMs
QuickSort,INF_VALUES,100,47808,0.047808
MergeSort,INF_VALUES,100,115683,0.115683
HeapSort,INF_VALUES,100,126758,0.126758
SelectionSort,INF_VALUES,100,165125,0.165125
QuickSort,INF_VALUES,500,419908,0.419908
MergeSort,INF_VALUES,500,676724,0.676724
HeapSort,INF_VALUES,500,917075,0.917075
SelectionSort,INF_VALUES,500,4355983,4.355983
QuickSort,INF_VALUES,1000,919591,0.919591
MergeSort,INF_VALUES,1000,1451816,1.451816
HeapSort,INF_VALUES,1000,1973300,1.973300
SelectionSort,INF_VALUES,1000,17246016,17.246016
QuickSort,MAX_MIN_INT,100,58867,0.058867
MergeSort,MAX_MIN_INT,100,105566,0.105566
HeapSort,MAX_MIN_INT,100,126199,0.126199
SelectionSort,MAX_MIN_INT,100,163883,0.163883
QuickSort,MAX_MIN_INT,500,443500,0.443500
MergeSort,MAX_MIN_INT,500,641350,0.641350
HeapSort,MAX_MIN_INT,500,893566,0.893566
SelectionSort,MAX_MIN_INT,500,4178774,4.178774
QuickSort,MAX_MIN_INT,1000,898925,0.898925
MergeSort,MAX_MIN_INT,1000,1412083,1.412083
HeapSort,MAX_MIN_INT,1000,1995016,1.995016
SelectionSort,MAX_MIN_INT,1000,16762783,16.762783
